Change Request Forms - 2026,,,,,,,,,,,,,,,,,,,,
Month,Client Name,Partner Name,Conversation#,Change Requested By,Change Request Date,Category,Reason for Raising,Change Request,Time Spent on Configuration,Time Spent on Review/Testing,Total Time,No. of Errors,Configuration Analyst,Review/Testing Analyst,Implementation Manager/CRM,Completed Date,Rating,Comments,Billable/Non Billable,
June,ORourke Sales Company,TrueNorth,468993,Partner,06/18/2026,Eligibility Setup,"When an employee moves from part-time to either management or non-management, the waiting period should match that of a new hire: FOMF begins 90 days after the effective date of the change.","•We have  removed Part-time from Class and added it as a department.
•Updated the Department change rule to  90 days from the Date of change that is same as New hire rule. And First of the Month Following or Coinciding with 90 Day(s) from Date of Department for Dental, Vision, Basic Life, LTD, Voluntary Life.
•First of the Month Following 90 Day(s) from Date of Department for  FSA Dependent Care, Voluntary Short Term Disability, Accident, Hospital Indemnity and Critical Illness",1:00,1:00,2:00,,Pratyush,Nischith,Denna,06/18/2026,5,,,
January,ATK Energy Group,TrueNorth,449714 and 449644,Partner,01/19/2026,Eligibility Setup,"ATK Energy Group has added multiple Paylocity company codes that mirror ATK’s existing benefits, eligibility rules, and contribution structure. To ensure consistent demographic mapping and payroll reporting, these entities should be managed at the Location level. We also identified that Nomad was previously set up as a Department and needs to be corrected to follow this same Location-based structure.
Using Locations allows direct mapping to Paylocity company IDs while keeping carrier and EDI configurations aligned with ATK.

Please complete the following updates in Benefits Junction:
1.Create / update Locations:
K5 Line LLC
Axiom Utility Solutions LLC
Nomad Power Group
2.Associate each Location with its corresponding Paylocity company ID so payroll can be reported correctly.
K5 Line LLC — Company ID 337597
Axiom Utility Solutions LLC — Company ID 351049
Nomad Power Group — Company ID 339815
3.Fix Nomad Power Group so it is handled as a Location (not a Department) and follows this same structure.
4.For carrier file feeds, map all new Locations the same way as ATK, with no changes to carrier accounts, plans, eligibility, or EDI logic.
","1.Create / update Locations:
K5 Line LLC
Axiom Utility Solutions LLC
Nomad Power Group
2.Fix Nomad Power Group so it is handled as a Location (not a Department) and follows this same structure. Leave the department as it is and moved employees to Location with same department for now.
3.Add new department Fleet in system and eligibility same as other departments.
",0:30,1:00,1:30,,Shilpa,Kiran B S,Juan,01/19/2026,4,,,
January,Howard Sheppard LLC,TrueNorth,449974,Client,01/27/2026,Eligibility Setup,"Please Add ACCT as a new Location value in Workforce Junction, effective 1/1/26. Eligibility should match the other locations. ",Add ACCT as a new Location value in Workforce Junction. Eligibility should match the other locations. ,0:17,2:00,2:17,,Jeevan S,Kiran B S,Juan,01/27/2026,5,,,
January,Flora Food Group,Hilb Group,453137,Client,01/30/2026,Plan Setup,"The New Century is taking STD and FMLA administration in-house and should no longer be billed by UNUM. Since STD and FMLA are auto-enrolled and UNUM is self-bill based on WFJ enrollment, eligibility must be updated to prevent incorrect billing.","Update STD and FMLA eligibility effective 01/01/2026 so that employees in the following divisions are not eligible or enrolled:
- New Century – 27080 West 159th
- Direct Bill – New Century – 27080 West 159th
- Hugoton
- Direct Bill – Hugoton

Also update the UNUM rates effective 01/01/2026 for the remaining population:
- STD: $10.25 PEPM (from $5.40)
- FMLA: $5.61 PEPM (from $4.21)

This change is needed because New Century is taking STD and FMLA administration in-house and should no longer be billed by UNUM. Since STD and FMLA are auto-enrolled and UNUM is self-bill based on WFJ enrollment, eligibility must be updated to prevent incorrect billing.

No employee notifications, or to-do items should be triggered as part of this change, and employees should not be given the ability to modify their enrollments related to this update.
Additionally. Remove division from the plan Employer Paid STD Plan - NJ 

- New Century – 27080 West 159th 
- Direct Bill – New Century - 27080 West 159th 
- Hugoton 
- Direct Bill – Hugoton ",1:00,2:30,3:30,,Jeevan S,Kiran B S,Juan,01/30/2026,5,,,
February,World Class Industries Inc,TrueNorth,454902,Partner,02/16/2026,Plan Setup,"During an audit of the Mutual of Omaha invoice for World Class Industries, our team noticed a rate mismatch for Basic Life and AD&D across multiple employees. The premiums billed on the carrier invoice do not align with the rates currently configured in the system. The broker confirmed the correct rates, so the system needs to be updated to match carrier billing and prevent ongoing premium discrepancies.","Update the Mutual of Omaha Basic Life and AD&D rates for World Class Industries effective 01/01/2026 to the confirmed rates provided by the broker. 
Basic Life rate: 0.11 
AD&D rate: 0.02 ",0:10,1:00,1:10,,Jeevan S,Nischith,Juan,02/16/2026,5,,,
February,Flora Food Group,Hilb Group,455041,Partner,02/18/2026,Rates Corrections,"Reason for Change:

Update 2026 Cigna medical premiums in the system to align with carrier billing. The carrier rates include the Vision Exam Only premium bundled into the medical plan rates. Our system was previously configured with medical-only rates, which caused a mismatch with the carrier invoice.

Requested Update:

Update the 2026 Cigna medical plan premiums to include Vision Exam Only rates as follows:

HDHP
•	Employee: $784.87
•	Employee + Spouse: $1,693.96
•	Employee + Child(ren): $1,456.55
•	Employee + Family: $2,365.67

POS
•	Employee: $974.22
•	Employee + Spouse: $2,102.51
•	Employee + Child(ren): $1,808.06
•	Employee + Family: $2,936.35
","Update the 2026 Cigna medical plan premiums to include Vision Exam Only rates as follows:

HDHP
•	Employee: $784.87
•	Employee + Spouse: $1,693.96
•	Employee + Child(ren): $1,456.55
•	Employee + Family: $2,365.67

POS
•	Employee: $974.22
•	Employee + Spouse: $2,102.51
•	Employee + Child(ren): $1,808.06
•	Employee + Family: $2,936.35


",0:11,1:30,1:41,,Pratap,Nischith,Juan,02/18/2026,5,,,
February,Gilbert May dba Phillips May Corporation,Higginbotham,455815,Client,02/24/2026,Status Change,"Update the Status Change rules so that childbirth is effective as of the date of birth instead of first of the following month. No changes are needed for any of the other qualifying life events, which should continue to be effective the first of the month following the event. ",Updated the Status Change rules so that childbirth is effective as of the date of birth instead of first of the following month. No changes are done to any of the other qualifying life events,0:20,1:10,1:30,,Pratyush,Kiran B S,Juan,02/24/2026,5,,,
February,World Class Industries Inc,TrueNorth,455533,Client,02/24/2026,Carrier Change,"Update the carrier name from Allstate ? The Standard in Workforce Junction for the following plans for WCI:
  Accident
  Critical Illness
Update any references to Allstate in the employee portal for WCI to The Standard for those same plans.","Updated the carrier name from Allstate ? The Standard in Workforce Junction for the following plans for WCI:
  Accident
  Critical Illness
Updated any references to Allstate in the employee portal for WCI to The Standard for those same plans.",0:20,1:30,1:50,,Jeevan S,Kiran B S,Juan,02/24/2026,5,,,
March,Hammer Williams Company,Dillingham,455698,Partner,03/10/2026,Eligibility Setup,"Add three new departments under the Hammer Williams division in WFJ, eligibility should match the other departments:
•	725
•	712
•	731
","Add the below new departments and the eligibility should match the other departments:
•	725
•	712
•	731
",0:20,1:50,2:10,,Pratap,Kiran B S,Juan,03/10/2026,5,,,
March,Gilbert May dba Phillips May Corporation,Higginbotham,454757,Client,03/13/2026,Plan Details Corrections,"Update the configuration for Dearborn coverage as follows:
•	STD premiums should be rounded to the nearest penny, with benefits rounded to the nearest dollar.
•	Voluntary Life and AD&D spouse coverage should be rated based on the employee’s age instead of the spouse’s age.
","Updated the Configuration rules
STD 
•Benefit amounts must be rounded to the nearest dollar. Update the rule to Conventional Rounding to the Whole Dollar
Voluntary Life & AD&D – Spouse Coverage
•Voluntary Life and AD&D spouse coverage should be rated based on the employee’s age instead of the spouse’s age.
",0:20,1:30,1:50,,Pratap,Kiran B S,Juan,03/13/2026,5,,,
